Date,Name,Item
2024-11-05,Abusementprk,Girdle of the Mentor
2024-11-05,Michaelre,Girdle of the Mentor
2024-11-05,Microgodx,Girdle of the Mentor
2024-11-05,Burkhealz,Hammer of the Twisting Nether
2024-11-05,Saladblesing,Hammer of the Twisting Nether
2024-11-05,Saladblesing,Hammer of the Twisting Nether
2024-11-05,Spacepump,Hammer of the Twisting Nether
2024-11-05,Frostiwarr,"Iblis, Blade of the Fallen Seraph"
2024-11-05,Rogue,"Gressil, Dawn of Ruin"
2024-11-05,Alpineey,Kiss of the Spider
2024-11-05,Checkursix,Kiss of the Spider
2024-11-05,Dinoblunts,Kiss of the Spider
2024-11-05,Finesse,Kiss of the Spider
2024-11-05,Glad,Kiss of the Spider
2024-11-05,Knumb,Kiss of the Spider
2024-11-05,Mictlantecuh,Kiss of the Spider
2024-11-05,Pogg,Kiss of the Spider
2024-11-05,Rusti,Kiss of the Spider
2024-11-05,Feq,Leggings of Apocalypse
2024-11-05,Dionefastrgf,Leggings of Polarity
2024-11-05,Uwudaddy,Leggings of Polarity
2024-11-05,Glad,Legplates of Carnage
2024-11-05,Dinoblunts,Might of Menethil
2024-11-05,Nineteenxx,Might of the Scourge
2024-11-05,Toxicalover,Might of the Scourge
2024-11-05,Bilbo,Necklace of Necropsy
2024-11-05,Donzon,Nerubian Slavemaker
2024-11-05,Donzon,Nerubian Slavemaker
2024-11-05,Rogue,"Gressil, Dawn of Ruin"
2024-11-05,Bojjo,Preceptor's Hat
2024-11-05,Bojjo,Preceptor's Hat
2024-11-05,Skiiska,Seal of the Damned
2024-11-05,Reciprocate,Shield of Condemnation
2024-11-05,Michaelre,Shroud of Dominion
2024-11-05,Microgodx,Shroud of Dominion
2024-11-05,Mistaveeb,Shroud of Dominion
2024-11-05,Checkursix,Slayer's Crest
2024-11-05,Finesse,Slayer's Crest
2024-11-05,Mistaveeb,Slayer's Crest
2024-11-05,Rootz,Slayer's Crest
2024-11-05,Rootz,Slayer's Crest
2024-11-05,Alpineey,Stormrage's Talisman of Seething
2024-11-05,Arizana,Stormrage's Talisman of Seething
2024-11-05,Mictlantecuh,Stormrage's Talisman of Seething
2024-11-05,Toxicalover,The Castigator
2024-11-05,Airz,The Face of Death
2024-11-05,Briseis,The Restrained Essence of Sapphiron
2024-11-05,Briseis,The Restrained Essence of Sapphiron
2024-11-05,Chimpsmage,The Restrained Essence of Sapphiron
2024-11-05,Hegrid,The Restrained Essence of Sapphiron
2024-11-05,Hegrid,The Restrained Essence of Sapphiron
2024-11-05,Trine,The Restrained Essence of Sapphiron
2024-11-05,Uwudaddy,The Restrained Essence of Sapphiron
2024-11-05,Dionefastrgf,The Soul Harvester's Bindings
2024-11-05,Burkhealz,Wand of the Whispering Dead
2024-11-05,Abusementprk,Wristguards of Vengeance
2024-11-05,Pogg,Wristguards of Vengeance
2024-10-29,Bigpapichulo,Band of Unanswered Prayers
2024-10-29,Arizana,Band of Unnatural Forces
2024-10-29,Feq,Band of Unnatural Forces
2024-10-29,Rusti,Band of Unnatural Forces
2024-10-29,Prunes,Brimstone Staff
2024-10-29,Prunes,Brimstone Staff
2024-10-29,Uwudaddy,Cloak of the Necropolis
2024-10-29,Reciprocate,Corrupted Ashbringer
2024-10-29,Skiiska,Doomfinger
2024-10-29,Airz,Eye of the Dead
2024-10-29,Bli,Eye of the Dead
2024-10-29,Bli,Eye of the Dead
2024-10-29,Mistav,Eye of the Dead
2024-10-29,Mistav,Eye of the Dead
2024-10-29,Spacepump,Eye of the Dead
2024-10-29,Waumbek,Eye of the Dead
2024-10-29,Waumbek,Eye of the Dead
2024-10-29,Trine,Gem of Trapped Innocents
2024-10-29,Shaala,Ghoul Skin Tunic
2024-10-29,Keeki,Girdle of the Mentor
2024-10-29,Microgodx,Girdle of the Mentor
2024-10-29,Pogg,Girdle of the Mentor
2024-10-29,Emann,Hammer of the Twisting Nether
2024-10-29,Saladblesing,Hammer of the Twisting Nether
2024-10-29,Saladblesing,Hammer of the Twisting Nether
2024-10-29,Spacepump,Hammer of the Twisting Nether
2024-10-29,Checkursix,Kingsfall
2024-10-29,Keeki,Kingsfall
2024-10-29,Rogue,"Gressil, Dawn of Ruin"
2024-10-29,Alpineey,Kiss of the Spider
2024-10-29,Checkursix,Kiss of the Spider
2024-10-29,Finesse,Kiss of the Spider
2024-10-29,Glad,Kiss of the Spider
2024-10-29,Glad,Kiss of the Spider
2024-10-29,Mictlantecuh,Kiss of the Spider
2024-10-29,Pogg,Kiss of the Spider
2024-10-29,Rusti,Kiss of the Spider
2024-10-29,Toxicalover,Kiss of the Spider
2024-10-29,Feq,Leggings of Apocalypse
2024-10-29,Briseis,Leggings of Polarity
2024-10-29,Chimpsmage,Leggings of Polarity
2024-10-29,Dionefastrgf,Leggings of Polarity
2024-10-29,Abusementprk,Legplates of Carnage
2024-10-29,Dinoblunts,Might of Menethil
2024-10-29,Mictlantecuh,Might of the Scourge
2024-10-29,Shaala,Necklace of Necropsy
2024-10-29,Nineteenhc,Nerubian Slavemaker
2024-10-29,Rogue,"Gressil, Dawn of Ruin"
2024-10-29,Bojjo,Preceptor's Hat
2024-10-29,Bojjo,Preceptor's Hat
2024-10-29,Skiiska,Seal of the Damned
2024-10-29,Reciprocate,Shield of Condemnation
2024-10-29,Knumb,Shroud of Dominion
2024-10-29,Michaelre,Shroud of Dominion
2024-10-29,Microgodx,Shroud of Dominion
2024-10-29,Dinoblunts,Slayer's Crest
2024-10-29,Finesse,Slayer's Crest
2024-10-29,Gugsx,Slayer's Crest
2024-10-29,Gugsx,Slayer's Crest
2024-10-29,Knumb,Slayer's Crest
2024-10-29,Nineteenhc,Slayer's Crest
2024-10-29,Rootz,Slayer's Crest
2024-10-29,Rootz,Slayer's Crest
2024-10-29,Alpineey,Stormrage's Talisman of Seething
2024-10-29,Arizana,Stormrage's Talisman of Seething
2024-10-29,Toxicalover,Stormrage's Talisman of Seething
2024-10-29,Airz,The Face of Death
2024-10-29,Briseis,The Restrained Essence of Sapphiron
2024-10-29,Burkinn,The Restrained Essence of Sapphiron
2024-10-29,Chimpsmage,The Restrained Essence of Sapphiron
2024-10-29,Trine,The Restrained Essence of Sapphiron
2024-10-29,Uwudaddy,The Restrained Essence of Sapphiron
2024-10-29,Dionefastrgf,The Soul Harvester's Bindings
2024-10-29,Emann,The Widow's Embrace
2024-10-29,Burkinn,Wand of Fates
2024-10-29,Bigpapichulo,Wand of the Whispering Dead
2024-10-29,Abusementprk,Wristguards of Vengeance
2024-10-29,Michaelre,Wristguards of Vengeance
2024-05-07,Antimercy,Band of Unanswered Prayers
2024-05-07,Spacepimp,Band of Unanswered Prayers
2024-05-07,Finesse,Band of Unnatural Forces
2024-05-07,Mcballs,Band of Unnatural Forces
2024-05-07,Mictlantecuh,Band of Unnatural Forces
2024-05-07,Vanishh,Band of Unnatural Forces
2024-05-07,Zongasfive,Band of Unnatural Forces
2024-05-07,Supgap,Band of the Inevitable
2024-05-07,Antimercy,Cloak of Suturing
2024-05-07,Bojjo,Cloak of the Necropolis
2024-05-07,Waumbek,Cryptfiend Silk Cloak
2024-05-07,Summonparser,Desecrated Circlet
2024-05-07,Burkinn,Desecrated Robe
2024-05-07,Jensin,Desecrated Robe
2024-05-07,Stickylicky,Desecrated Robe
2024-05-07,Summonparser,Desecrated Robe
2024-05-07,Gome,Eye of Diminution
2024-05-07,Miltonmane,Eye of Diminution
2024-05-07,Gandal,Eye of the Dead
2024-05-07,Otokoneko,Eye of the Dead
2024-05-07,Shaala,Eye of the Dead
2024-05-07,Alpineey,Girdle of the Mentor
2024-05-07,Pogg,Girdle of the Mentor
2024-05-07,Bli,Hammer of the Twisting Nether
2024-05-07,Bli,Hammer of the Twisting Nether
2024-05-07,Miltonmane,Hammer of the Twisting Nether
2024-05-07,Otokoneko,Hammer of the Twisting Nether
2024-05-07,Spacepimp,Hammer of the Twisting Nether
2024-05-07,Stickylicky,Hammer of the Twisting Nether
2024-05-07,Alzera,Hatchet of Sundered Bone
2024-05-07,Aleice,"Iblis, Blade of the Fallen Seraph"
2024-05-07,Checkursix,"Iblis, Blade of the Fallen Seraph"
2024-05-07,Finesse,"Iblis, Blade of the Fallen Seraph"
2024-05-07,Abusementprk,Kiss of the Spider
2024-05-07,Alzera,Kiss of the Spider
2024-05-07,Checkursix,Kiss of the Spider
2024-05-07,Chims,Kiss of the Spider
2024-05-07,Chims,Kiss of the Spider
2024-05-07,Mcballs,Kiss of the Spider
2024-05-07,Rickytanx,Kiss of the Spider
2024-05-07,Zongasfive,Kiss of the Spider
2024-05-07,Ábrams,Kiss of the Spider
2024-05-07,Shaala,Leggings of Apocalypse
2024-05-07,Bojjo,Leggings of Polarity
2024-05-07,Ábrams,Legplates of Carnage
2024-05-07,Arizana,Might of Menethil
2024-05-07,Rickytanx,Might of Menethil
2024-05-07,Waumbek,Might of Menethil
2024-05-07,Yagå,Might of Menethil
2024-05-07,Mistaveeb,Might of the Scourge
2024-05-07,Alpineey,Plated Abomination Ribcage
2024-05-07,Supgap,Preceptor's Hat
2024-05-07,Jensin,Sapphiron's Right Eye
2024-05-07,Jetrho,Shroud of Dominion
2024-05-07,Rootz,Shroud of Dominion
2024-05-07,Yagå,Shroud of Dominion
2024-05-07,Abusementprk,Slayer's Crest
2024-05-07,Arizana,Slayer's Crest
2024-05-07,Jetrho,Slayer's Crest
2024-05-07,Mictlantecuh,Slayer's Crest
2024-05-07,Nineteenalt,Slayer's Crest
2024-05-07,Nineteenalt,Slayer's Crest
2024-05-07,Pogg,Slayer's Crest
2024-05-07,Ruug,Slayer's Crest
2024-05-07,Ruug,Slayer's Crest
2024-05-07,Vanishh,Slayer's Crest
2024-05-07,Branremix,Stormrage's Talisman of Seething
2024-05-07,Mistaveeb,Stormrage's Talisman of Seething
2024-05-07,Rootz,Stormrage's Talisman of Seething
2024-05-07,Aleice,The Castigator
2024-05-07,Glad,The Castigator
2024-05-07,Glad,The Phylactery of Kel'Thuzad
2024-05-07,Burkinn,The Restrained Essence of Sapphiron
2024-05-07,Uwudaddy,The Restrained Essence of Sapphiron
2024-05-07,Gandal,Veil of Eclipse
2024-05-07,Gome,Wand of Fates
2024-05-07,Uwudaddy,Wand of Fates
2024-05-07,Skiiska,Wand of the Whispering Dead
2024-05-07,Skiiska,Wand of the Whispering Dead
2024-05-07,Branremix,Wristguards of Vengeance
2025-05-06,Donfrye,Band of Unnatural Forces
2025-05-06,Jetrho,Band of Unnatural Forces
2025-05-06,Madder,Band of Unnatural Forces
2025-05-06,Huxli,Claw of the Frost Wyrm
2025-05-06,Branremix,Cloak of Suturing
2025-05-06,Holyfist,Cloak of Suturing
2025-05-06,Chimpsmage,Cloak of the Necropolis
2025-05-06,Branremix,Eye of the Dead
2025-05-06,Briseis,Eye of the Dead
2025-05-06,Darkwings,Eye of the Dead
2025-05-06,Dwarfjessus,Eye of the Dead
2025-05-06,Illadelph,Eye of the Dead
2025-05-06,Illadelph,Eye of the Dead
2025-05-06,Ignitegodx,Gem of Trapped Innocents
2025-05-06,Ljiangjun,Gem of Trapped Innocents
2025-05-06,Avecz,Girdle of the Mentor
2025-05-06,Feq,Girdle of the Mentor
2025-05-06,Numbrodos,Hailstone Band
2025-05-06,Donfrye,Hammer of the Twisting Nether
2025-05-06,Dwarfjessus,Hammer of the Twisting Nether
2025-05-06,Holyfist,Hammer of the Twisting Nether
2025-05-06,Kurdinn,Hammer of the Twisting Nether
2025-05-06,Aile,Harbinger of Doom
2025-05-06,Valoriwar,Hatchet of Sundered Bone
2025-05-06,Ghili,"Iblis, Blade of the Fallen Seraph"
2025-05-06,Helioss,"Iblis, Blade of the Fallen Seraph"
2025-05-06,Saladbalding,"Iblis, Blade of the Fallen Seraph"
2025-05-06,Zosokid,"Iblis, Blade of the Fallen Seraph"
2025-05-06,Dinoblunts,Kiss of the Spider
2025-05-06,Helioss,Kiss of the Spider
2025-05-06,Madder,Kiss of the Spider
2025-05-06,Rusti,Kiss of the Spider
2025-05-06,Rusti,Kiss of the Spider
2025-05-06,Slashi,Kiss of the Spider
2025-05-06,Xorkal,Kiss of the Spider
2025-05-06,Xorkal,Kiss of the Spider
2025-05-06,Saladbalding,Leggings of Apocalypse
2025-05-06,Chimpsmage,Leggings of Polarity
2025-05-06,Avecz,Legplates of Carnage
2025-05-06,Valoriwar,Legplates of Carnage
2025-05-06,Alpineey,Might of the Scourge
2025-05-06,Ghili,Might of the Scourge
2025-05-06,Bli,Necklace of Necropsy
2025-05-06,Bli,Necklace of Necropsy
2025-05-06,Greybush,Necklace of Necropsy
2025-05-06,Reciprocate,Necklace of Necropsy
2025-05-06,Glad,Nerubian Slavemaker
2025-05-06,Mistaveeb,Nerubian Slavemaker
2025-05-06,Mistaveeb,Nerubian Slavemaker
2025-05-06,Feq,Plated Abomination Ribcage
2025-05-06,Darkwings,Resilience of the Scourge
2025-05-06,Greybush,Resilience of the Scourge
2025-05-06,Dionefastrgf,Sapphiron's Left Eye
2025-05-06,Dionefastrgf,Sapphiron's Left Eye
2025-05-06,Ljiangjun,Sapphiron's Left Eye
2025-05-06,Novely,Shroud of Dominion
2025-05-06,Aile,Slayer's Crest
2025-05-06,Glad,Slayer's Crest
2025-05-06,Novely,Slayer's Crest
2025-05-06,Slashi,Slayer's Crest
2025-05-06,Thorgena,Slayer's Crest
2025-05-06,Alpineey,Stormrage's Talisman of Seething
2025-05-06,Dinoblunts,Stormrage's Talisman of Seething
2025-05-06,Jetrho,Stormrage's Talisman of Seething
2025-05-06,Thorgena,Stormrage's Talisman of Seething
2025-05-06,Zosokid,Stormrage's Talisman of Seething
2025-05-06,Huxli,The Castigator
2025-05-06,Briseis,The Restrained Essence of Sapphiron
2025-05-06,Donzonæq,The Restrained Essence of Sapphiron
2025-05-06,Donzonæq,The Restrained Essence of Sapphiron
2025-05-06,Kurdinn,The Restrained Essence of Sapphiron
2025-05-06,Kushcloud,The Restrained Essence of Sapphiron
2025-05-06,Kushcloud,The Restrained Essence of Sapphiron
2025-05-06,Numbrodos,The Restrained Essence of Sapphiron
2025-05-06,Ignitegodx,Wraith Blade
2025-05-06,Reciprocate,Wristguards of Vengeance
2024-02-13,Gandal,Band of Unanswered Prayers
2024-02-13,Mictlantecuh,Band of Unnatural Forces
2024-02-13,Pogg,Band of Unnatural Forces
2024-02-13,Rootz,Band of Unnatural Forces
2024-02-13,Tavesty,Band of Unnatural Forces
2024-02-13,Yagå,Band of Unnatural Forces
2024-02-13,Waumbek,Belt of the Grand Crusader
2024-02-13,Petdenoune,Cloak of Suturing
2024-02-13,Impax,Cloak of the Necropolis
2024-02-13,Holyrolled,Corrupted Ashbringer
2024-02-13,Jensin,Desecrated Circlet
2024-02-13,Bojjo,Desecrated Robe
2024-02-13,Burkinafaso,Desecrated Robe
2024-02-13,Louieflamezz,Desecrated Robe
2024-02-13,Runtzxcookie,Desecrated Robe
2024-02-13,Brickzilla,Desecrated Shoulderpads
2024-02-13,Gome,Doomfinger
2024-02-13,Brickzilla,Eye of the Dead
2024-02-13,Dreamer,Eye of the Dead
2024-02-13,Holyrolled,Eye of the Dead
2024-02-13,Gome,Gem of Trapped Innocents
2024-02-13,Chims,Girdle of the Mentor
2024-02-13,Cleavadge,Girdle of the Mentor
2024-02-13,Tavesty,Girdle of the Mentor
2024-02-13,Dreamer,Hammer of the Twisting Nether
2024-02-13,Prunes,Hammer of the Twisting Nether
2024-02-13,Prunes,Hammer of the Twisting Nether
2024-02-13,Yagå,Hatchet of Sundered Bone
2024-02-13,Alpineey,"Iblis, Blade of the Fallen Seraph"
2024-02-13,Checkursix,"Iblis, Blade of the Fallen Seraph"
2024-02-13,Stablord,"Iblis, Blade of the Fallen Seraph"
2024-02-13,Abusementprk,Kiss of the Spider
2024-02-13,Eatsithtina,Kiss of the Spider
2024-02-13,Eatsithtina,Kiss of the Spider
2024-02-13,Knumb,Kiss of the Spider
2024-02-13,Mcballs,Kiss of the Spider
2024-02-13,Nineteenalt,Kiss of the Spider
2024-02-13,Nineteenalt,Kiss of the Spider
2024-02-13,Louieflamezz,Leggings of Polarity
2024-02-13,Runtzxcookie,Leggings of Polarity
2024-02-13,Mistaveeb,Legplates of Carnage
2024-02-13,Airz,Might of Menethil
2024-02-13,Airz,Might of Menethil
2024-02-13,Branremix,Might of Menethil
2024-02-13,Cleavadge,Might of the Scourge
2024-02-13,Farquaad,Might of the Scourge
2024-02-13,Farquaad,Might of the Scourge
2024-02-13,Petdenoune,Necklace of Necropsy
2024-02-13,Ruug,Nerubian Slavemaker
2024-02-13,Skiiska,Ring of Faith
2024-02-13,Briseis,Sapphiron's Left Eye
2024-02-13,Burkinafaso,Sapphiron's Left Eye
2024-02-13,Skiiska,Sapphiron's Right Eye
2024-02-13,Impax,Seal of the Damned
2024-02-13,Bli,Shroud of Dominion
2024-02-13,Bli,Shroud of Dominion
2024-02-13,Pogg,Shroud of Dominion
2024-02-13,Ratbag,Shroud of Dominion
2024-02-13,Abusementprk,Slayer's Crest
2024-02-13,Checkursix,Slayer's Crest
2024-02-13,Mcballs,Slayer's Crest
2024-02-13,Mictlantecuh,Slayer's Crest
2024-02-13,Rootz,Slayer's Crest
2024-02-13,Stablord,Slayer's Crest
2024-02-13,Iggy,Soulstring
2024-02-13,Ratbag,Soulstring
2024-02-13,Branremix,Stormrage's Talisman of Seething
2024-02-13,Iggy,Stormrage's Talisman of Seething
2024-02-13,Alpineey,The Castigator
2024-02-13,Waumbek,The Face of Death
2024-02-13,Chims,The Phylactery of Kel'Thuzad
2024-02-13,Ruug,The Phylactery of Kel'Thuzad
2024-02-13,Briseis,The Restrained Essence of Sapphiron
2024-02-13,Gandal,The Restrained Essence of Sapphiron
2024-02-13,Hegred,The Restrained Essence of Sapphiron
2024-02-13,Hegred,The Restrained Essence of Sapphiron
2024-02-13,Jensin,Warmth of Forgiveness
2024-02-13,Bojjo,Wraith Blade
2024-02-13,Knumb,Wristguards of Vengeance
2024-02-13,Mistaveeb,Wristguards of Vengeance
2025-08-12,Illadelph,Band of Unanswered Prayers
2025-08-12,Illadelph,Band of Unanswered Prayers
2025-08-12,Dwamasama,Band of Unnatural Forces
2025-08-12,Slashi,Band of Unnatural Forces
2025-08-12,Vanthur,Band of Unnatural Forces
2025-08-12,Greybush,Band of the Inevitable
2025-08-12,Deadcoiles,Cloak of the Necropolis
2025-08-12,Mandraky,Cloak of the Necropolis
2025-08-12,Asherr,Desecrated Circlet
2025-08-12,Asherr,Desecrated Gloves
2025-08-12,Briseis,Eye of the Dead
2025-08-12,Darkwings,Eye of the Dead
2025-08-12,Rusti,Eye of the Dead
2025-08-12,Rusti,Eye of the Dead
2025-08-12,Spach,Eye of the Dead
2025-08-12,Magebrained,Gem of Trapped Innocents
2025-08-12,Ares,Girdle of the Mentor
2025-08-12,Macthorson,Girdle of the Mentor
2025-08-12,Solidsmtx,Girdle of the Mentor
2025-08-12,Torreypines,Girdle of the Mentor
2025-08-12,Lagerthafury,Hammer of the Twisting Nether
2025-08-12,Macthorson,Hatchet of Sundered Bone
2025-08-12,Jhonytank,"Iblis, Blade of the Fallen Seraph"
2025-08-12,Lagerthafury,"Iblis, Blade of the Fallen Seraph"
2025-08-12,Mesmasshuu,"Iblis, Blade of the Fallen Seraph"
2025-08-12,Bravesrrobin,Kiss of the Spider
2025-08-12,Bravesrrobin,Kiss of the Spider
